STATION CODE,year,LOCATIONS,STATE,Temp,D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE,FECAL COLIFORM,TOTAL COLIFORM,Potability,WQI
2271,2009,NAN,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",28,5.4,7,7692,1.7,0.92,29,48,1,61.833156
2271,2008,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",NAN,28,5.2,7.2,29,1.65,0.04,37,144,1,64.16360591
2272,2014,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,7,6.9,224,1.2,0.3,3896,6742,0,133.1421687
2272,2013,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,6.7,6.6,107,1.3,0.22,2461,3757,1,97.85094557
2272,2012,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28,6.7,6.6,118,1,0.22,1104,3496,1,65.15064557
2272,2011,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,25.7,7.3,6.2,113,1.2,0.33,9,137,1,32.17259183
2272,2010,"KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",NAN,27.8,6.8,6,93,1.9,0.75,9,136,1,37.38046261
2272,2009,NAN,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",27,6.6,7.2,692,1.9,0.34,105,175,1,61.35590852
2272,2008,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",NAN,26,6.2,7.1,146,2.1,0.09,920,2400,1,81.64633635
2273,2014,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.4,5.4,7.6,39,1.4,0.1,3176,6367,0,138.6874
2273,2013,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.8,5.6,7.7,142,1.7,0.14,1831,3644,0,111.8237981
2273,2012,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,30,5.9,7.3,44,1.6,0.14,962,2794,1,83.13787722
2273,2011,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,27.5,6.2,6.3,245,1.8,0.31,7,135,1,44.49221235
